,Action,Alpha,Epsilon,Error,Max V,Mean V,Reward,State,Time
218,0,0.011180788242357747,0.1118078824235774,0.0,0.0,0.0,0.0,12,0.026000022888183594
219,0,0.01106898035993417,0.11068980359934164,0.0,0.0,0.0,0.0,12,0.026000022888183594
220,0,0.010958290556334828,0.10958290556334822,0.0,0.0,0.0,0.0,12,0.026000022888183594
221,0,0.01084870765077148,0.10848707650771475,0.0,0.0,0.0,0.0,12,0.026000022888183594
222,0,0.010740220574263765,0.1074022057426376,0.0,0.0,0.0,0.0,12,0.026000022888183594
223,0,0.010632818368521127,0.10632818368521123,0.0,0.0,0.0,0.0,12,0.026999950408935547
224,0,0.010526490184835915,0.10526490184835911,0.0,0.0,0.0,0.0,12,0.026999950408935547
225,0,0.010421225282987556,0.10421225282987552,0.0,0.0,0.0,0.0,12,0.026999950408935547
226,0,0.01031701303015768,0.10317013030157676,0.0,0.0,0.0,0.0,12,0.026999950408935547
227,0,0.010213842899856104,0.10213842899856099,0.0,0.0,0.0,0.0,12,0.026999950408935547
228,0,0.010111704470857543,0.10111704470857538,0.0,0.0,0.0,0.0,12,0.026999950408935547
229,0,0.010010587426148968,0.10010587426148963,0.0,0.0,0.0,0.0,12,0.026999950408935547
230,0,0.009910481551887479,0.1,0.0,0.0,0.0,0.0,12,0.026999950408935547
231,0,0.009811376736368603,0.1,0.0,0.0,0.0,0.0,12,0.026999950408935547
232,0,0.009713262969004917,0.1,0.0,0.0,0.0,0.0,12,0.0279998779296875
233,0,0.009616130339314867,0.1,0.0,0.0,0.0,0.0,12,0.0279998779296875
234,0,0.009519969035921718,0.1,0.0,0.0,0.0,0.0,12,0.0279998779296875
235,0,0.009424769345562502,0.1,0.0,0.0,0.0,0.0,12,0.0279998779296875
236,0,0.009330521652106877,0.1,0.0,0.0,0.0,0.0,12,0.029000043869018555
237,0,0.009237216435585808,0.1,0.0,0.0,0.0,0.0,12,0.029000043869018555
238,0,0.009144844271229951,0.1,0.0,0.0,0.0,0.0,12,0.029000043869018555
239,0,0.00905339582851765,0.1,0.0,0.0,0.0,0.0,12,0.029000043869018555
240,0,0.008962861870232474,0.1,0.0,0.0,0.0,0.0,12,0.029000043869018555
241,0,0.008873233251530149,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
242,0,0.008784500919014848,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
243,0,0.0086966559098247,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
244,0,0.008609689350726452,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
245,0,0.008523592457219188,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
246,0,0.008438356532646995,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
247,0,0.008353972967320525,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
248,0,0.00827043323764732,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
249,2,0.008187728905270846,0.1,0.0,0.0,0.0,0.0,12,0.029999971389770508
250,0,0.008105851616218138,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
251,0,0.008024793100055957,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
252,0,0.007944545169055397,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
253,0,0.007865099717364843,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
254,0,0.0077864487201911945,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
255,0,0.0077085842329892825,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
256,0,0.00763149839065939,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
257,0,0.0075551834067527955,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
258,0,0.007479631572685268,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
259,0,0.007404835256958415,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
260,0,0.007330786904388831,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
261,0,0.007257479035344943,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
262,0,0.007184904244991494,0.1,0.0,0.0,0.0,0.0,12,0.03099989891052246
263,0,0.007113055202541579,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
264,0,0.007041924650516163,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
265,0,0.006971505404011002,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
266,0,0.006901790349970892,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
267,0,0.006832772446471183,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
268,0,0.006764444722006471,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
269,0,0.006696800274786406,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
270,0,0.006629832272038541,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
271,0,0.006563533949318156,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
272,0,0.006497898609824975,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
273,3,0.006432919623726724,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
274,0,0.006368590427489457,0.1,0.0,0.0,0.0,0.0,12,0.032000064849853516
275,0,0.006304904523214563,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
276,0,0.006241855477982417,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
277,0,0.0061794369232025925,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
278,0,0.006117642553970567,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
279,0,0.006056466128430861,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
280,0,0.005995901467146553,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
281,0,0.005935942452475087,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
282,0,0.005876583027950337,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
283,0,0.005817817197670833,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
284,0,0.005759639025694124,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
285,2,0.005702042635437183,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
286,0,0.005645022209082811,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
287,0,0.0055885719869919834,0.1,0.0,0.0,0.0,0.0,12,0.03299999237060547
